_id,name,option,score,content
658ff46f11c27a0fb900d253,chpa******,선택 옵션 Yellow/Red,4,저렴한가격에  해외배송인데 엄청빨리 왔네요ㅎㅎ\n봄 따뜻하고 날 좋을때 란딩 기대되네요
658ff46f11c27a0fb900d254,eorj******,선택 옵션 Yellow/Orange,5,반반공답게 고급스러우면서 필드에서 사용감도 좋습니다.
658ff46f11c27a0fb900d255,kjw1***,선택 옵션 Yellow/Red,5,포장은 좀 허접한데 그래도 딜~에 가격은 싼가격에 구매 했습니다.. 가격대비 좋네요.
658ff46f11c27a0fb900d256,monr***,선택 옵션 Yellow/Orange,5,블랙프라이데이랑 연말이 걸려서\n\n 배송이 늦었습니다 (2주)\n\n통관에만 일주일이 걸렸습니다\n\n공은 뭐 항상쓰던거니 좋을겁니다
658ff48411c27a0fb900d25a,망고망동,선택 옵션\nLanolin 1 Count,5,원래 쓰던거라서 또 구매했어요!\n가격이 자꾸 바뀌니까 \n장바구니에 넣어놓고 가끔씩 들여다 보면서\n떨어지기 전에 구매해요!\n아기 발진있는 곳에 바르고 \n건조한 곳에도 바르면 금방 괜찮아져요~!\n아기가 먹어도 괜찮다고 해서 침독에도 발라줘요~
658ff48411c27a0fb900d25b,gugh****,선택 옵션\nLanolin 2 Count,5,더보기
658ff48411c27a0fb900d25c,영포아가,선택 옵션\nLanolin 1 Count,5,더 구매했어요\n태열이 심해서 발라주고 있어요 성분이 좋아서 구매했어요
658ff48411c27a0fb900d25d,kkag****,선택 옵션\nLanolin 2 Count,5,아기가 건조해서 샀는데 \n끈적거리긴 하는데 보습 너무 좋아요
658ff48411c27a0fb900d25e,didr*****,선택 옵션\nLanolin 1 Count,5,모유수유 할 때 내 가슴을 지키기 위해 구매했는데 너무 잘 사용하고 있어요!
658ff48411c27a0fb900d25f,밀가루반죽,선택 옵션\n0.25 Ounce (Pack of 3),5,항상 사용하는 제품 너무 좋아요!\n또 사러 갑니당
658ff48411c27a0fb900d260,soda***,선택 옵션\n0.25 Ounce (Pack of 3),5,"처음 알게된건 모유수유하면서부터\n근데 작은 긁힘, 입술보습에 진짜 탁월한 효과가 있어서 \n아이가 젖먹이일때부터 지금은 초6인데 여전히 저는 가방에 휴대용으로 집에 비치용으로 늘 구입해요\n사이즈가 작은게 나와서 휴대용으로 더 좋겠다 싶어서 구입했어요 \n진짜 입술 텄을때 잠자기전에 듬뿍 바르고 자면 다음날 아침에 완전 멀쩡해져요 \n솔직히 향이나 맛(?)은 그냥 별로인데 ㅋㅋㅋ 그렇다고 심한 거부감까지는 아니라서 효과하나보고 씁니다 \n바세린이나 립밤 이런거 효과 못보신분 꼭 한번 써보세요"
658ff48411c27a0fb900d261,shin****,선택 옵션\nLanolin 2 Count,5,더보기
658ff48411c27a0fb900d262,젬맘,선택 옵션\n0.25 Ounce (Pack of 3),4,아기침독때문에 샀는데... 효과는 그닥없는거같아요 ㅠㅠ\n작은사이즈로 가지고 다니기는 편합니다.
658ff48411c27a0fb900d263,cjda****,선택 옵션\nLanolin 2 Count,5,"아기 피부에 요즘 침이 흥건해서 벌겋기도 하고 건조하기도 해서 주문해서 받자마자 바로 발라줬어요. 질감은 바세린 같은데 무향이고 발림성도 나쁘지 않고, 무엇보다 아기 얼굴에 바르는건데 주먹고기 시즌이라 어쩔수 없이 비비면서 먹게되도 안전한 성분이라 안심되고요 !!! 끈적일줄 알았는데 바르고 나니 촉촉한게 오래가고 보습도 잘되네요 !!! 좋아요 재구매의사 1000% 두개라 넉넉하지만 듬뿍 자주 발라줄거에요 :)"
658ff48411c27a0fb900d264,lanw*******,선택 옵션 Lanolin 1 Count,5,핸드네일크림이 로션재질이 많아서 추천받고 사봤어여. \n꾸덕한 안티푸라민 재질이라ㅜ좋아요. 향도 진하지않고 \n샘플이라 립빔 사이즈에요. 첨부사진으로 확인해보세요.
658ff48411c27a0fb900d265,야하,선택 옵션 Lanolin 1 Count,5,다시는 블랙프라이데이 기간에 구매를 안해야겠음 ㅜㅜ 배송너무느려요
658ff48411c27a0fb900d266,ho24****,선택 옵션 Lanolin 1 Count,4,모유수유 필수템이에요 초반에 모유수유하면서 아플때 발라주면 너무 좋구요 닦지 않고 수유가능해서 좋습니다 그리고 침독오른 애기 볼에 발라주면 효과좋더라구요 여러모로 잘쓰고있어요!
658ff48411c27a0fb900d267,jooh*****,선택 옵션 Lanolin 1 Count,5,상자는 역시나 조금 찌그러져왔지만 내용물은 멀쩡해요\n싸게 잘 샀습니다
658ff48411c27a0fb900d268,sain*******,선택 옵션 Lanolin 1 Count,5,란시노 라놀린크림 자체는 계속 쓰던거라 저렴한 가격에 구매하게 되어 좋아요. 다만 미국에서부터 종이 포장지에 오다보니 안에 내용물은 사진과 같이 왔네요. 참고하세요.
658ff48411c27a0fb900d269,sain*******,선택 옵션 Lanolin 2 Count,5,아기 태어나기전에 구매했어요\n직구라 배송은 오래 걸렸지만 1개짜리 싸게 잘산거같아서좋아요~~~ 무엇보다 사용기한도 26년까지라 맘에들어요
658ff48411c27a0fb900d26a,hj10****,선택 옵션 Lanolin 2 Count,5,"보습, 피부관리 등 여러면에서 사용하기 좋습니다. 생각보다 사용감이 좋아서 몇개 추가로 더 구매했습니다. 다 쓰고 나면 재구매 하고 싶을 정도로 제품이 좋네요~  다른 분들도 구매하실 때 참고하세요."
658ff48411c27a0fb900d26b,sol9*****,선택 옵션 Lanolin 2 Count,5,"보습, 피부관리 등 여러면에서 사용하기 좋습니다. 생각보다 사용감이 좋아서 몇개 추가로 더 구매했습니다. 다 쓰고 나면 재구매 하고 싶을 정도로 제품이 좋네요~  다른 분들도 구매하실 때 참고하세요."
658ff48411c27a0fb900d26c,2601***************,선택 옵션 Lanolin 2 Count,5,맘카페에서 보고 2개 구매했어요~ 아직 출산전이라 사용해보진 않았지만 워낙 입소문난 템이라 믿고 구매했어요~
658ff48411c27a0fb900d26d,jiyo*****,선택 옵션 Lanolin 1 Count,5,"유두보호크림,아기 침독에 좋다고 하여 구매했어요\n싼 가격에 잘 구매하였습니다^^"
658ff48411c27a0fb900d26e,priz*****,선택 옵션 Lanolin 1 Count,5,아기 침독때문에 구매했어요. 효과 좋아요. 찬바람 맞아 볼이 살짝 틀때도 발라줘요. 먹어도 된다고해서 안심하고 여기저기 다 발라줍니다. 집에 하나 휴대용으로 하나 사용중이예요. 
658ff48411c27a0fb900d26f,gjal****,선택 옵션 Lanolin 2 Count,5,바세린 같은데 먹어도 안전하다고 해서\n립밤으로 사용하고 있어요~\n둘째 임신중이라 곧 출산 준비하면서 구배했는데 립밤으로도 너무 좋아요!!\n아마존쿠폰 쓰고 행사할때 더 쟁여 놓으려규요~!!\n구매가는 만천원정도
658ff48411c27a0fb900d270,dvdv**,선택 옵션 Lanolin 2 Count,5,배송도 많이 늦지 않았어요\n맘카페 핫딜보고 구매했어요\n제품은 정말 좋고 확실하네요 !
658ff48411c27a0fb900d271,미샤22,선택 옵션 Lanolin 2 Count,5,출산준비물로 구매했어요!\n아직 사용전이긴하지만 직구를 통해 2개를 1개 가격으로 구매했어요!
658ff48411c27a0fb900d272,kimy***,선택 옵션 Lanolin 2 Count,5,첫수유할때 너무 오래 물려서 바로 발라줬어요\n잘산거같아요
658ff48411c27a0fb900d273,lek5**,선택 옵션 Lanolin 1 Count,5,아직 출산하진 않았지만 유듀가 너무 건조해서 미리 구매해서 쓰고 있어요. 바셀린보다 더 꾸덕한 질감이라 발림성은 좋진 않지만 보습효과는 정말 좋네요.
658ff48411c27a0fb900d274,kimm*****,선택 옵션 Lanolin 2 Count,5,역시 듣던대로 좋아요 배송은 좀 걸렸지만 가격은 저렴해요!
658ff48411c27a0fb900d275,yocj***,선택 옵션 Lanolin 2 Count,5,아기 피부가 건조해서 자주 발라주는데 완전 촉촉해져요!
